city_eng|country_eng|iata_code|name_eng
Anaa|French Polynesia|AAA|Anaa
Arrabury|Australia|AAB|Arrabury
Al Arish|Egypt|AAC|Al Arish International Airport
Ad-Dabbah|Sudan|AAD|Ad-Dabbah
Annaba|Algeria|AAE|Les Salines
Apalachicola|United States|AAF|Municipal
Arapoti|Brazil|AAG|Arapoti
Aachen|Germany|AAH|Aachen/Merzbruck
Arraias|Brazil|AAI|Arraias
Awaradam|Suriname|AAJ|Cayana Airstrip
Aranuka|Kiribati|AAK|Aranuka
Aalborg|Denmark|AAL|Aalborg
Mala Mala|South Africa|AAM|Mala Mala
Al Ain|United Arab Emirates|AAN|Al Ain
Anaco|Venezuela|AAO|Anaco
Houston, TX|United States|AAP|Andrau Airpark
Anapa|Russian Federation|AAQ|Vityazevo
Aarhus|Denmark|AAR|Aarhus Airport
Apalapsili|Indonesia|AAS|Apalapsili
Altay|China|AAT|Altay
Asau|Samoa|AAU|Asau
Surallah|Philippines|AAV|Allah Valley
Abbottabad|Pakistan|AAW|Abbottabad
Araxa|Brazil|AAX|Araxa
Al Ghaydah|Yemen|AAY|Al Ghaydah
Ambriz|Angola|AAZ|Ambriz
Abakan|Russian Federation|ABA|Abakan
Abingdon|United Kingdom|ABB|RAF Station
Albacete|Spain|ABC|Los Llanos
Abadan|Iran|ABD|Abadan
Abaiang|Kiribati|ABF|Abaiang
Abingdon|Australia|ABG|Abingdon
Alpha|Australia|ABH|Alpha
Abilene|United States|ABI|Municipal
Abidjan|Cote D&#039;Ivoire|ABJ|Felix Houphouet Boigny
Kabri Dar|Ethiopia|ABK|Kabri Dar
Ambler|United States|ABL|Ambler
Bamaga, Queensland|Australia|ABM|Bamaga Injinoo
Albina|Suriname|ABN|Albina
Aboisso|Cote D&#039;Ivoire|ABO|Aboisso
Atkamba|Papua New Guinea|ABP|Atkamba
Albuquerque|United States|ABQ|Albuquerque International
Aberdeen|United States|ABR|Municipal
Abu Simbel|Egypt|ABS|Abu Simbel
Al-Baha|Saudi Arabia|ABT|Al-Aqiq
Atambua|Indonesia|ABU|Atambua
Abuja|Nigeria|ABV|Nnamdi Azikiwe International Airport
Abau|Papua New Guinea|ABW|Abau
Albury|Australia|ABX|Albury
Albany|United States|ABY|Dougherty County
Aberdeen|United Kingdom|ABZ|Dyce
Bellaire|United States|ACB|Antrim County
Accra|Ghana|ACC|Kotoka
Acandi|Colombia|ACD|Acandi
Arrecife|Spain|ACE|Lanzarote
Altenrhein|Switzerland|ACH|Altenrhein
Alderney|United Kingdom|ACI|The Blaye
Anuradhapura|Sri Lanka|ACJ|Anuradhapura
Nantucket|United States|ACK|Nantucket Memorial
Aguaclara|Colombia|ACL|Aguaclara
Arica|Colombia|ACM|Arica
Ciudad Acuna|Mexico|ACN|International
Ascona|Switzerland|ACO|Ascona
Sahand|Iran|ACP|Sahand
Araracuara|Colombia|ACR|Araracuara
Achinsk|Russian Federation|ACS|Achinsk
Waco|United States|ACT|Municipal
Achutupo|Panama|ACU|Achutupo
Arcata|United States|ACV|Arcata
Xingyi|China|ACX|Xingyi
Atlantic City|United States|ACY|Atlantic City Intl
Zabol|Iran|ACZ|Zabol A/P
Adana|Turkey|ADA|Adana
Izmir|Turkey|ADB|Adnan Menderes
Andakombe|Papua New Guinea|ADC|Andakombe
Addis Ababa|Ethiopia|ADD|Bole International
Aden|Yemen|ADE|International
Adiyaman|Turkey|ADF|Adiyaman
Adrian|United States|ADG|Lenawee County
Aldan|Russian Federation|ADH|Aldan
Arandis|Namibia|ADI|Arandis
Amman|Jordan|ADJ|Marka International Airport
Adak Island|United States|ADK|Adak Island NS
Adelaide|Australia|ADL|Adelaide International Airport
Ardmore|United States|ADM|Ardmore Municipal Arpt
Andes|Colombia|ADN|Andes
Andamooka|Australia|ADO|Andamooka
Ampara|Sri Lanka|ADP|Ampara
Kodiak|United States|ADQ|Kodiak Airport
Andrews|United States|ADR|Andrews
Dallas|United States|ADS|Addison Airport
Ada|United States|ADT|Ada
Ardabil|Iran|ADU|Ardabil
Andover|United Kingdom|ADV|Andover
Camp Springs|United States|ADW|Andrews AFB
St Andrews|United Kingdom|ADX|Leuchars
Alldays|South Africa|ADY|Alldays
San Andres Island|Colombia|ADZ|San Andres Island
Abemama Atoll|Kiribati|AEA|Abemama Atoll
Aleneva|United States|AED|Aleneva
Aek Godang|Indonesia|AEG|Aek Godang
Abecher|Chad|AEH|Abecher
Algeciras|Spain|AEI|Algeciras
Aseki|Papua New Guinea|AEK|Aseki
Albert Lea|United States|AEL|Albert Lea
Aioun El Atrouss|Mauritania|AEO|Aioun El Atrouss
Buenos Aires|Argentina|AEP|Arpt. Jorge Newbery
Adler|Russian Federation|AER|Adler - Sochi
Aalesund|Norway|AES|Vigra
Allakaket|United States|AET|Allakaket
Abu Musa|Iran|AEU|Abu Musa
Alexandria, LA|United States|AEX|Alexandria International
Akureyri|Iceland|AEY|Akureyri
San Rafael|Argentina|AFA|San Rafael
Port Alfred|South Africa|AFD|Port Alfred
Colorado Springs|United States|AFF|USAF Academy Airstrip
Amalfi|Colombia|AFI|Amalfi
Ampara|Sri Lanka|AFK|Kondavattavan Tank
Alta Floresta|Brazil|AFL|Alta Floresta
Jaffrey|United States|AFN|Municipal
Afton|United States|AFO|Municipal
Afore|Papua New Guinea|AFR|Afore
Zarafshan|Uzbekistan|AFS|Zarafshan
Afutara|Solomon Islands|AFT|Afutara Aerodrome
Fort Worth, TX|United States|AFW|Fort Worth Alliance
Afyon|Turkey|AFY|Afyon
Sabzevar|Iran|AFZ|Sabzevar
Agadir|Morocco|AGA|Agadir Almassira
Munich|Germany|AGB|Augsburg - Muehlhausen
Pittsburgh|United States|AGC|Allegheny County
Anggi|Indonesia|AGD|Anggi
Wangerooge|Germany|AGE|Flugplatz
Agen|France|AGF|La Garenne
Angoram|Papua New Guinea|AGG|Angoram
Angelholm/Helsingborg|Sweden|AGH|Angelholm
Wageningen|Suriname|AGI|Wageningen
Aguni|Japan|AGJ|Aguni
Kagua|Papua New Guinea|AGK|Kagua
Wanigela|Papua New Guinea|AGL|Wanigela
Tasiilaq|Greenland|AGM|Tasiilaq
Angoon|United States|AGN|Angoon
Magnolia|United States|AGO|Municipal
Malaga|Spain|AGP|Pablo Ruiz Picasso
Agrinion|Greece|AGQ|Agrinion
Agra|India|AGR|Kheria
Augusta|United States|AGS|Bush Field
Ciudad Del Este|Paraguay|AGT|Alejo Garcia
Aguascalientes|Mexico|AGU|Aguascalients
Acarigua|Venezuela|AGV|Acarigua
Agnew|Australia|AGW|Agnew
Agatti Island|India|AGX|Agatti Island
Argyle Downs|Australia|AGY|Argyle Downs
Aggeneys|South Africa|AGZ|Aggeneys
Okinawa|Japan|AHA|Naha Air Force Base
Abha|Saudi Arabia|AHB|Abha
Herlong|Norway|AHC|Amedee AAF
Ardmore|United States|AHD|Downtown
Ahe|French Polynesia|AHE|Ahe Airport
Arapahoe|Guatemala|AHF|Municipal
Amery|United States|AHH|Municipal
Amahai|Indonesia|AHI|Amahai
Aishalton|Guyana|AHL|Aishalton
Athens|Greece|AHN|Athens
Alghero|Italy|AHO|Fertilia
Ahuas|Honduras|AHS|Ahuas
Amchitka|United States|AHT|Amchitka
Al Hoceima|Morocco|AHU|Charif Al Idrissi
Ambatolahy|Madagascar|AHY|Ambatolahy
Alpe D Huez|France|AHZ|Alpe D Huez
Alliance|United States|AIA|Alliance
Anita Bay|United States|AIB|Anita Bay
Airok, Ailinglaplap|Marshall Islands|AIC|Airok
Anderson|United States|AID|Municipal
Aiome|Papua New Guinea|AIE|Aiome
Assis|Brazil|AIF|Assis
Yalinga|Central African Republic|AIG|Yalinga
Aiambak|Papua New Guinea|AIH|Aiambak
Alisabieh|Djibouti|AII|Alisabieh
Aiken|United States|AIK|Municipal
Ailigandi|Panama|AIL|Ailigandi
Ailuk Island|Marshall Islands|AIM|Ailuk Island
Wainwright|United States|AIN|Wainwright
Atlantic|United States|AIO|Municipal
Ailinglapalap Island|Marshall Islands|AIP|Ailinglapalap Island
Aripuana|Brazil|AIR|Aripuana
Arorae Island|Kiribati|AIS|Arorae Island
Aitutaki|Cook Islands|AIT|Aitutaki
Atiu Island|Cook Islands|AIU|Atiu Island
Aliceville|United States|AIV|George Downer
Ai-ais|Namibia|AIW|Ai-ais
Atlantic City|United States|AIY|Bader Field
Kaiser/Lake Ozark|United States|AIZ|Lee C Fine Memorial
Ajaccio|France|AJA|Campo Dell Oro
Sakaka Al Jouf|Saudi Arabia|AJF|Jouf
Agri|Italy|AJI|A&amp;#287;ri
Akjoujt|Mauritania|AJJ|Akjoujt
Araak|Iran|AJK|Araak
Aizawl|India|AJL|Aizawl
Anjouan|Comoros|AJN|Ouani
Aljouf|Yemen|AJO|Aljouf
Arvidsjaur|Sweden|AJR|Arvidsjaur
Abreojos|Mexico|AJS|Abreojos
Aracaju|Brazil|AJU|Santa Maria
Agades|Niger|AJY|Agades
Ankang|China|AKA|Ankang
Atka|United States|AKB|Atka
Akron/Canton|South Africa|AKC|Fulton International
Akola|India|AKD|Akola
Akieni|Gabon|AKE|Akieni
Kufrah|Libya|AKF|Kufrah
Anguganak|Papua New Guinea|AKG|Anguganak
Al Kharj|Saudi Arabia|AKH|Prince Sultan Air Base
Akiak|United States|AKI|Akiak
Asahikawa|Japan|AKJ|Asahikawa
Akhiok|United States|AKK|Akhiok SPB
Auckland|New Zealand|AKL|Auckland International
Zakouma|Chad|AKM|Zakouma
King Salmon|United States|AKN|King Salmon
Akron, CO|United States|AKO|Colorado Plains Regional Airport
Anaktuvuk|United States|AKP|Anaktuvuk
Astraksetra|Indonesia|AKQ|Gunung Batin
Akure|Nigeria|AKR|Akure
Akrotiri|Cyprus|AKT|Akrotiri Raf
Aksu|China|AKU|Aksu
Akulivik|Canada|AKV|Akulivik
Aghajari|Iran|AKW|Aghajari
Aktyubinsk|Kazakhstan|AKX|Aktyubinsk
Sittwe|Myanmar|AKY|Civil
Almaty|Kazakhstan|ALA|Almaty
Albany|United States|ALB|Albany International
Alicante|Spain|ALC|Alicante El Altet
Alerta|Peru|ALD|Alerta
Alpine|United States|ALE|Alpine
Alta|Norway|ALF|Alta
Algiers|Algeria|ALG|Houari Boumediene
Albany|Australia|ALH|Albany
Alice|United States|ALI|International
Alexander Bay|South Africa|ALJ|Kortdoorn
Asela|Ethiopia|ALK|Asela
Albenga|Italy|ALL|Albenga
Alamogordo|United States|ALM|Municipal
Alton|United States|ALN|Alton
Waterloo|United States|ALO|Waterloo
Aleppo|Syria|ALP|Nejrab
Alegrete|Brazil|ALQ|Federal
Alexandra|New Zealand|ALR|Alexandra
Alamosa|United States|ALS|Municipal
Alenquer|Brazil|ALT|Alenquer
Alula|Somalia|ALU|Alula
Andorra La Vella|Andorra|ALV|Andorra La Vella H/P
Walla Walla|United States|ALW|Walla Walla
Alexander City|United States|ALX|Thomas C Russell Fld
Alexandria|Egypt|ALY|El Nohza
Alitak|United States|ALZ|Alitak SPB
Amarillo, TX|United States|AMA|Rick Husband Amarillo International
Ambilobe|Madagascar|AMB|Ambilobe
Am Timan|Chad|AMC|Am Timan
Ahmedabad|India|AMD|Ahmedabad
Alto Molocue|Mozambique|AME|Alto Molocue
Ama|Papua New Guinea|AMF|Ama
Amboin|Papua New Guinea|AMG|Amboin
Arba Mintch|Ethiopia|AMH|Arba Mintch
Mataram|Indonesia|AMI|Selaparang
Almenara|Brazil|AMJ|Almenara
Durango|United States|AMK|Animas Airpark
Puerto Armuellas|Panama|AML|Puerto Armuellas
Amman|Jordan|AMM|Queen Alia Intl
Alma|United States|AMN|Gratiot Community
Mao|Chad|AMO|Mao
Ampanihy|Madagascar|AMP|Ampanihy
Ambon|Indonesia|AMQ|Pattimura
Arno|Marshall Islands|AMR|Arno
Amsterdam|Netherlands|AMS|Amsterdam-Schiphol
Amata|Australia|AMT|Amata
Amanab|Papua New Guinea|AMU|Amanab
Amderma|Russian Federation|AMV|Amderma
Ames|United States|AMW|Ames
Ammaroo|Australia|AMX|Ammaroo
Ambatomainty|Madagascar|AMY|Ambatomainty
Ardmore|New Zealand|AMZ|Ardmore
Anaheim|United States|ANA|Orange County Steel Salvage Heliport
Anniston|United States|ANB|Anniston Metropolitan
Anchorage|United States|ANC|Ted Stevens Anchorage International Airport
Anderson|United States|AND|Anderson
Angers|France|ANE|Marce
Antofagasta|Chile|ANF|Cerro Moreno
Angouleme|France|ANG|Brie-Champniers
Anuha Island Resort|Solomon Islands|ANH|Anuha Island Resort
Aniak|United States|ANI|Aniak
Zanaga|Congo|ANJ|Zanaga
Ankara|Turkey|ANK|Etimesgut
Andulo|Angola|ANL|Andulo
Antalaha|Madagascar|ANM|Antsirabato
Annette Island|United States|ANN|Annette Island
Angoche|Mozambique|ANO|Angoche
Annapolis|United States|ANP|Lee
Angola|United States|ANQ|Tri-State Steuben Cty
Antwerp|Belgium|ANR|Deurne
Andahuaylas|Peru|ANS|Andahuaylas
St Anton|Austria|ANT|St Anton
St. John&#039;s|Antigua And Barbuda|ANU|V. C. Bird Intl
Anvik|United States|ANV|Anvik
Ainsworth|United States|ANW|Ainsworth
Andenes|Norway|ANX|Andenes
Anthony|United States|ANY|Anthony
Angus Downs|Australia|ANZ|Angus Downs
Aroa|Papua New Guinea|AOA|Aroa
Annanberg|Papua New Guinea|AOB|Annanberg
Altenburg|Germany|AOC|Altenburg Nobitz
Abou Deia|Chad|AOD|Abou Deia
Eskisehir|Turkey|AOE|Anadolu University
Anshan|China|AOG|Anshan
Lima|United States|AOH|Allen County
Ancona|Italy|AOI|Falconara
Aomori|Japan|AOJ|Aomori
Karpathos|Greece|AOK|Karpathos
Paso De Los Libres|Argentina|AOL|Paso De Los Libres
Arona|Solomon Islands|AON|Arona
Martinsburg|United States|AOO|Martinsburg
Alor Setar|Malaysia|AOR|Alor Setar
Amook|United States|AOS|Amook
Aosta|Italy|AOT|Corrado Gex
Attopeu|Laos|AOU|Attopeu
Denver|United States|APA|Arapahoe Co
Apolo|Bolivia|APB|Apolo
Napa|United States|APC|Napa County
San Juan Aposento|Peru|APE|San Juan Aposento
Naples|United States|APF|Naples
Aberdeen|United States|APG|Phillips AAF
Bowling Green|United States|APH|Camp A P Hill
Apiay|Colombia|API|Apiay
Apataki|French Polynesia|APK|Apataki
Nampula|Mozambique|APL|Nampula
Alpena|United States|APN|Alpena County Regional
Apartado|Colombia|APO|Apartado
Asapa|Papua New Guinea|APP|Asapa
Arapiraca|Brazil|APQ|Arapiraca
April River|Papua New Guinea|APR|April River
Anapolis|Brazil|APS|Anapolis
Jasper|United States|APT|Marion County
Apucarana|Brazil|APU|Apucarana
Apple Valley|United States|APV|Apple Valley
Apia|Samoa|APW|Faleolo
Arapongas|Brazil|APX|Arapongas
Alto Parnaiba|Brazil|APY|Alto Parnaiba
Zapala|Argentina|APZ|Zapala
Araraquara|Brazil|AQA|Araraquara
Quiche|Guatemala|AQB|Quiche Airport
Anqing|China|AQG|Anqing
Qaisumah|Saudi Arabia|AQI|Qaisumah
Aqaba|Jordan|AQJ|King Hussein Intl
Ariquemes|Brazil|AQM|Ariquemes
Arequipa|Peru|AQP|Rodriguez Ballon
Saqani|Fiji|AQS|Saqani
Alyeska|United States|AQY|Alyeska
New Iberia|United States|ARA|Acadiana Regional
Ann Arbor, MI|United States|ARB|Municipal
Arctic Village|United States|ARC|Arctic Village
Alor Island|Indonesia|ARD|Alor Island
Arecibo|Puerto Rico|ARE|Arecibo
Acaricuara|Colombia|ARF|Acaricuara
Walnut Ridge|United States|ARG|Walnut Ridge
Arkhangelsk|Russian Federation|ARH|Talagi
Arica|Chile|ARI|Chacalluta
Arso|Indonesia|ARJ|Arso
Arusha|Tanzania|ARK|Arusha
Arly|Burkina Faso|ARL|Arly
Armidale|Australia|ARM|Armidale
Stockholm|Sweden|ARN|Arlanda
Arboletas|Colombia|ARO|Arboletas
Aragip|Papua New Guinea|ARP|Aragip
Arauquita|Colombia|ARQ|Arauquita
Alto Rio Senguerr|Argentina|ARR|Alto Rio Senguerr
Aragarcas|Brazil|ARS|Aragarcas
Watertown|United States|ART|Watertown
Aracatuba|Brazil|ARU|Aracatuba
Minocqua|United States|ARV|Noble F. Lee
Arad|Romania|ARW|Arad
Neptune, NJ|United States|ARX|Asbury Park
Ararat|Australia|ARY|Ararat
Assab|Eritrea|ASA|Assab International
Ashgabat|Turkmenistan|ASB|Ashgabat
Ascension|Bolivia|ASC|Ascension
Andros Town|Bahamas|ASD|Andros Town
Aspen|United States|ASE|Aspen
Astrakhan|Russian Federation|ASF|Astrakhan
Ashburton|New Zealand|ASG|Ashburton
Nashua, NH|United States|ASH|Boire Field
Georgetown, Ascension Island|St. Helena|ASI|Wideawake Field
Amami O Shima|Japan|ASJ|Amami O Shima
Yamoussoukro|Cote D&#039;Ivoire|ASK|Yamoussoukro
Marshall|United States|ASL|Harrison County
Asmara|Eritrea|ASM|Yohannes IV
Talladega|United States|ASN|Talladega
Asosa|Ethiopia|ASO|Asosa
Alice Springs|Australia|ASP|Alice Springs
Austin|United States|ASQ|Austin
Kayseri|Turkey|ASR|Erkilet International Airport
Astoria|United States|AST|Astoria
Asuncion|Paraguay|ASU|Silvio Pettirossi
Amboseli|Kenya|ASV|Amboseli
Aswan|Egypt|ASW|Aswan
Ashland|United States|ASX|Ashland
Ashley|United States|ASY|Ashley
Asirim|Papua New Guinea|ASZ|Asirim
Anta|Peru|ATA|Anta
Atbara|Sudan|ATB|Atbara
Atoifi|Solomon Islands|ATD|Atoifi
Antlers|United States|ATE|Antlers
Ambato|Ecuador|ATF|Chachoan
Attock|Pakistan|ATG|Attock
Athens|Greece|ATH|Eleftherios Venizelos
Artigas|Uruguay|ATI|Artigas
Antsirabe|Madagascar|ATJ|Antsirabe
Atqasuk|United States|ATK|Atqasuk
Atlanta, GA|United States|ATL|Hartsfield-jackson Atlanta International
Altamira|Brazil|ATM|Altamira
Namatanai|Papua New Guinea|ATN|Namatanai
Athens|Greece|ATO|Ohio University
Aitape|Papua New Guinea|ATP|Airstrip
Amritsar|India|ATQ|Raja Sansi
Atar|Mauritania|ATR|Mouakchott
Artesia|United States|ATS|Artesia
Atmautluak|United States|ATT|Atmautluak
Attu Island|United States|ATU|Casco Cove
Ati|Chad|ATV|Ati
Appleton|United States|ATW|Outagamie County
Atbasar|Kazakhstan|ATX|Atbasar
Watertown|United States|ATY|Watertown
Assiut|Egypt|ATZ|Assiut
Aruba|Aruba|AUA|Reina Beatrix
Itauba|Brazil|AUB|Itauba
Arauca|Colombia|AUC|Arauca
Augustus Downs|Australia|AUD|Augustus Downs
Abu Rudeis|Egypt|AUE|Abu Rudeis
Auxerre|France|AUF|Auxerre Branches
Augusta|United States|AUG|Augusta
Abu Dhabi|United Arab Emirates|AUH|Abu Dhabi International
Aua Island|Papua New Guinea|AUI|Aua Island
Ambunti|Papua New Guinea|AUJ|Ambunti
Alakanuk|United States|AUK|Alakanuk
Aur Island|Marshall Islands|AUL|Aur Island
Austin|United States|AUM|Austin
Auburn|United States|AUN|Auburn
Auburn|United States|AUO|Auburn-Opelika
Agaun|Papua New Guinea|AUP|Agaun
Atuona|French Polynesia|AUQ|Atuona
Aurillac|France|AUR|Aurillac
Atauro|Indonesia|AUT|Atauro
Aurukun Mission|Australia|AUU|Aurukun Mission
Aumo|Papua New Guinea|AUV|Aumo
Wausau|United States|AUW|Municipal
Araguaina|Brazil|AUX|Araguaina
Aneityum|Vanuatu|AUY|Aneityum
Aurora|United States|AUZ|Municipal Airport
An Shun|China|AVA|An Shun/Huang Guo Shu
Aviano|Italy|AVB|Aviano
Avoriaz|France|AVF|Avoriaz
Auvergne|Australia|AVG|Auvergne
Ciego De Avila|Cuba|AVI|Maximo Gomez
Arvaikheer|Mongolia|AVK|Arvaikheer
Fletcher|United States|AVL|Asheville Regional Airport
Avignon|France|AVN|Avignon-Caum
Avon Park|United States|AVO|Municipal
Wilkes-Barre/Scranton, PA|United States|AVP|Wilkes-Barre/Scranton International Airport
Avu Avu|Solomon Islands|AVU|Avu Avu
Geelong|Australia|AVV|Avalon
Tucson|United States|AVW|Avra Valley
Catalina Island|United States|AVX|Avalon Bay
Awassa|Ethiopia|AWA|Awassa
Awaba|Papua New Guinea|AWB|Awaba
Aniwa|Vanuatu|AWD|Aniwa
Alowe|Gabon|AWE|Alowe
Awareh|Ethiopia|AWH|Awareh
Wake Island|US Minor Outlying Islands|AWK|Wake Island
West Memphis|United States|AWM|Municipal
Alton Downs|Australia|AWN|Alton Downs
Austral Downs|Australia|AWP|Austral Downs
Awar|Papua New Guinea|AWR|Awar
Ahwaz|Iran|AWZ|Ahwaz
Anguilla|Anguilla|AXA|Wallblake
Alexandria Bay|United States|AXB|Alexandria Bay
Aramac|Australia|AXC|Aramac
Alexandroupolis|Greece|AXD|Dimokritos
Xanxere|Brazil|AXE|Xanxere
Algona|United States|AXG|Algona
Ataq|Yemen|AXK|Ataq
Alexandria|Australia|AXL|Alexandria
Armenia|Colombia|AXM|El Eden
Alexandria|United States|AXN|Alexandria
Spring Point|Turks and Caicos Islands|AXP|Springpoint Arpt
Arutua|French Polynesia|AXR|Arutua
Altus|United States|AXS|Municipal
Akita|Japan|AXT|Akita
Axum|Ethiopia|AXU|Axum
Wapakoneta|United States|AXV|Neil Armstrong
Angel Fire|United States|AXX|Angel Fire
Ayapel|Colombia|AYA|Ayapel
Ayacucho|Peru|AYC|Ayacucho
Alroy Downs|Australia|AYD|Alroy Downs
Fort Devens|Haiti|AYE|AAF Heliport
Yaguara|Colombia|AYG|Yaguara
Alconbury|United Kingdom|AYH|RAF Station
Yari|Colombia|AYI|Yari
Arkalyk|Kazakhstan|AYK|Arkalyk
Anthony Lagoon|Australia|AYL|Anthony Lagoon
Anyang|China|AYN|Anyang
Ayolas|Uganda|AYO|Ayolas
Ayacucho|Peru|AYP|Yanamilla
Ayers Rock|Australia|AYQ|Connellan
Ayr|Australia|AYR|Ayr
Waycross|United States|AYS|Ware County
Antalya|Turkey|AYT|Antalya
Aiyura|Papua New Guinea|AYU|Aiyura
Ayawasi|Indonesia|AYW|Ayawasi
Amityville|United States|AYZ|Zahns
Amazon Bay|Papua New Guinea|AZB|Amazon Bay
Yazd|Iran|AZD|Yazd
Apatzingan|Mexico|AZG|Apatzingan
Abu Dhabi|United Arab Emirates|AZI|Bateen
Andizhan|Uzbekistan|AZN|Andizhan
Kalamazoo|United States|AZO|Kalamazoo/Battle Creek Intl
Mexico City|Mexico|AZP|Atizapan
Adrar|Algeria|AZR|Adrar
Zapatoca|Colombia|AZT|Zapatoca
Ambriz|Angola|AZZ|Ambriz
Bialla|Papua New Guinea|BAA|Bialla
Marysville|United States|BAB|Beale AFB
Barranca De Upia|Colombia|BAC|Barranca De Upia
Shreveport|United States|BAD|Barksdale AFB
Barcelonnette|France|BAE|Barcelonnette
Westfield|United States|BAF|Barnes
Baguio|Philippines|BAG|Loakan
Manama|Bahrain|BAH|Bahrain International
Buenos Aires|Costa Rica|BAI|Buenos Aires
Bali|Papua New Guinea|BAJ|Bali
Batman|Turkey|BAL|Batman
Battle Mountain|United States|BAM|Lander County
Basongo|Democratic Republic Of Congo|BAN|Basongo
Ban Mak Khaen|Thailand|BAO|Udorn
Baibara|Papua New Guinea|BAP|Baibara
Barranquilla|Colombia|BAQ|E Cortissoz
Baker Island|United States|BAR|Baker Aaf
Balalae|Solomon Islands|BAS|Balalae
Barretos|Brazil|BAT|Airport Chafei Amsei
Bauru|Brazil|BAU|Bauru
Baotou|China|BAV|Baotou
Biawonque|Gabon|BAW|Biawonque
Barnaul|Russian Federation|BAX|Barnaul
Baia Mare|Romania|BAY|Baia Mare
Barbelos|Brazil|BAZ|Barbelos
Balmaceda|Chile|BBA|Teniente Vidal
Benson|United States|BBB|Municipal
Bay City|United States|BBC|Bay City
Brady|United States|BBD|Curtis Field
Big Bell|Australia|BBE|Big Bell
Burlington|United States|BBF|Burlington
Butaritari|Kiribati|BBG|Butaritari
Barth|Germany|BBH|Barth
Bhubaneswar|India|BBI|Bhubaneswar
Bitburg|Germany|BBJ|Bitburg Air Base
Kasane|Botswana|BBK|Kasane
Babolsar|Iran|BBL|Babolsar
Battambang|Cambodia|BBM|Battambang
Bario|Malaysia|BBN|Bario
Berbera|Ethiopia|BBO|Berbera
Bembridge|United Kingdom|BBP|Bembridge
Barbuda|Antigua And Barbuda|BBQ|Barbuda
Basse Terre|Guadeloupe|BBR|Baillif
Yateley|United Kingdom|BBS|Blackbushe
Berberati|Central African Republic|BBT|Berberati
Bucharest|Romania|BBU|Baneasa
Bereby|Cote D&#039;Ivoire|BBV|Hkg
Broken Bow|United States|BBW|Broken Bow
Blue Bell|United States|BBX|Wings Field
Bambari|Central African Republic|BBY|Bambari
Zambezi|Zambia|BBZ|Zambezi
Baracoa|Cuba|BCA|Baracoa
Blacksburg|United States|BCB|Virginia Tech
Bear Creek|United States|BCC|Bear Creek
Bacolod|Philippines|BCD|Bacolod
Bryce|United States|BCE|Bryce
Bouca|Central African Republic|BCF|Bouca
Bemichi|Guyana|BCG|Bemichi
Baucau|East Timor-Indonesia|BCH|Cakung International
Barcaldine|Australia|BCI|Barcaldine
Baca Grande|United States|BCJ|Baca Grande
Bolwarra|Australia|BCK|Bolwarra
Barra Colorado|Costa Rica|BCL|Barra Colorado
Bacau|Romania|BCM|Bacau
Barcelona|Spain|BCN|El Prat De Llobregat
Jinka|Ethiopia|BCO|Jinka
Bambu|Ethiopia|BCP|Bambu
Brack|Namibia|BCQ|Brack
Boca Do Acre|Brazil|BCR|Boca Do Acre
Belle Chasse|United States|BCS|Southern Seaplane
Boca Raton|United States|BCT|Public
Bauchi|Nigeria|BCU|Bauchi
Belmopan|Belize|BCV|Belmopan
Benguera Island|Mozambique|BCW|Benguera Island
Beloreck|Russian Federation|BCX|Beloreck
Bulchi|Ethiopia|BCY|Bulchi
Bickerton Island|Australia|BCZ|Bickerton Island
Bermuda|Bermuda|BDA|Kindley Field
Bundaberg|Australia|BDB|Bundaberg
Barra Do Corda|Brazil|BDC|Barra Do Corda
Badu Island|Australia|BDD|Badu Island
Baudette|United States|BDE|Baudette
Bradford|United States|BDF|Rinkenberger
Blanding|United States|BDG|Blanding
Bandar Lengeh|Iran|BDH|Bandar Lengeh
Bird Island|Seychelles|BDI|Bird Island
Banjarmasin|Indonesia|BDJ|Sjamsudin Noor
Bondoukou|Cote D&#039;Ivoire|BDK|Bondoukou
Windsor Locks|United States|BDL|Bradley International
Bandirma|Turkey|BDM|Bandirma
Badin|Pakistan|BDN|Talhar
Bandung|Indonesia|BDO|Husein Sastranegara
Bhadrapur|Nepal|BDP|Bhadrapur
Vadodara|India|BDQ|Vadodara
Bridgeport|United States|BDR|Igor I. Sikorsky Mem.
Brindisi|Italy|BDS|Papola Casale
Gbadolite|Democratic Republic Of Congo|BDT|Kisangani
Bardufoss|Norway|BDU|Bardufoss
Moba|Democratic Republic Of Congo|BDV|Moba
Bedford Downs|Australia|BDW|Bedford Downs
Broadus|United States|BDX|Broadus
Bandon|United States|BDY|State
Baindoung|Papua New Guinea|BDZ|Baindoung
Bereina|Papua New Guinea|BEA|Bereina
Benbecula|United Kingdom|BEB|Benbecula
Wichita|United States|BEC|Beech
Bedford/Hanscom|United States|BED|Hanscom Field
Beagle Bay|Australia|BEE|Beagle Bay
Bluefields|Nicaragua|BEF|Bluefields
Belgrade|Serbia|BEG|Nikola Tesla
Benton Harbor|United States|BEH|Ross Field
Beica|Ethiopia|BEI|Beica
Tanjung Redep|Indonesia|BEJ|Kalimaru
Bareli|India|BEK|Bareli
Belem|Brazil|BEL|Val De Cans
Bossembele|Central African Republic|BEM|Bossembele
Benghazi|Libya|BEN|Benina Intl
Newcastle|Australia|BEO|Belmont
